Video Id,Publish Date,Channel Id,Video Title,Video Description,Channel Title,Video Tags,Default Audio Language,Video Views,Video Likes,Favorite Count,Comment Count,Channel Country,Query,Caption Saved
O16JP0YRKv4,2017-06-28T21:09:03Z,UCZaT_X_mc0BI-djXOlfhqWQ,Philippines Special Forces Are On The Hunt For ISIS Militants (HBO),"Last month, ISIS-linked militants attempted to establish South East Asia's first Islamic State caliphate on the southern Philippines island of Mindanao. What followed was a bid from the Philippines armed forces to crush the militants and reestablish order. VICE News gained exclusive access to embed with the Philippines special forces to learn about the realities of war on the front lines of Marawi.

Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News

Check out VICE News for more: http://vicenews.com

Follow VICE News here:
Facebook: https://www.facebook.com/vicenews
Twitter: https://twitter.com/vicenews
Tumblr: http://vicenews.tumblr.com/
Instagram: http://instagram.com/vicenews
More videos from the VICE network: https://www.fb.com/vicevideo",VICE News,"['isis marawi vice', 'filipino special forces', 'ISIS marawi', 'Marawi', 'vice isis', 'interviews', 'world news', 'breaking news', 'happening now', 'politics', 'national', 'VICE News Tonight', 'HBO', 'VICE on HBO', 'vice news tonight', 'VICE News', 'Philippines', 'ISIS militias', 'Rodrigo Duterte', 'Duterte', 'Isobel Yeung vice', 'urban warfare', 'Malawi', 'frontlines', 'Filipino', 'VICE', 'ISIL', 'Daesh', 'Mindanao', 'Phillipines', 'militants', 'violence', 'war and conflict', 'war on drugs', 'terror', 'isobel yeung', 'VICE Magazine', 'documentary', 'news', 'vice news 2018']",en,5761277,61539,0,9870,US,"First time Philippines,Try Filipino Food,Trying Filipino,Trying PH,Trying Philippines",Yes
RqwT81VWcfs,2017-07-07T15:44:53Z,UCZaT_X_mc0BI-djXOlfhqWQ,War in the Philippines & Google's $2.7 Billion Fine: VICE News Tonight Full Episode (HBO),"VICE reports on the intensifying battle between ISIS-linked militants and Philippine armed forces in Marawi. Plus, an interview with Europe's Competition Commissioner, Margrethe Vestager, in the wake of Google's record $2.7 billion antitrust fine.

Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News

Check out VICE News for more: http://vicenews.com

Follow VICE News here:
Facebook: https://www.facebook.com/vicenews
Twitter: https://twitter.com/vicenews
Tumblr: http://vicenews.tumblr.com/
Instagram: http://instagram.com/vicenews
More videos from the VICE network: https://www.fb.com/vicevideo",VICE News,"['VICE News', 'news', 'VICE', 'VICE Magazine', 'documentary', 'interviews', 'world news', 'breaking news', 'happening now', 'politics', 'national', 'international', 'environment', 'economics', 'VICE News Tonight', 'HBO', 'VICE on HBO', 'VICE Money', 'gender', 'male', 'female', 'Philippines', 'war', 'Rodrigo Duterte', 'isis', 'Donald Trump', 'google', 'Margrethe Vestager', 'Marawi', 'fine', 'antitrust', 'europe', 'Competition Commissioner', 'antitrust fine', 'apple antitrust', 'technology', 'tech', 'business', 'army', 'soldiers', 'philipines', 'phillipines', 'filipine', 'flipino']",en,689064,5001,0,1158,US,"Foreigner reacts to Filipinos,Trying Philippines",Yes
3sNSRgq-4l8,2023-06-28T16:00:02Z,UCV3Nm3T-XAgVhKH9jT0ViRg,Who’s A Bigger Threat To Filipinos: U.S. Or China?,"As the two superpowers compete for dominance in the Pacific, Dena Takruri asks Filipinos how they feel being caught in the middle. Who is the bigger threat to the Philippines: the U.S. or China?",AJ+,"['AJ', 'AJ+', 'AJPlus', 'Al Jazeera', 'News', 'aj plus', 'china', 'philippines', 'u.s. military', 'war']",en,202558,4365,0,4715,US,"Foreigner impressions of the Philippines,Foreigner React Filipino,Foreigner speaks Filipino,Foreigner tries Filipino food,Foreigner tries Filipino food,Foreigner vlog Philippines,React to Filipinos,React to PH,React to Philippines",Yes
hWw6Ua4wyMs,2023-06-27T18:15:02Z,UCV3Nm3T-XAgVhKH9jT0ViRg,"If The U.S. And China Go To War, Who Loses?","As tensions have been escalating between the U.S. and China, the Philippines announced it will allow American troops more access to military bases in the country. But what’s at stake for this island nation, which was once a U.S. colony, if the two superpowers go to war?  

Dena Takruri travels to the Philippines to watch the annual combined military exercise held by American and Philippine troops, and hears from Filipinos who oppose a bigger U.S. military footprint in their country.

00:00: Intro 
1:11: Dena watches combined military exercises 
2:42: What’s going on with China in the Pacific? 
5:12: Why Filipino fisherfolk are protesting 
7:42: What’s the U.S. doing in the Philippines in the first place? 
9:57: Why this Philippine governor is against increased U.S. military presence",AJ+,"['China', 'Philippines', 'US']",en,1695302,17071,0,10966,US,"Japanese React Filipino,Korean React Filipino,React to Filipinos,React to PH,React to Philippines,React to Pinoy,Top Filipino,Trying Filipino,Trying PH,Visit Philippines",Yes
Py_ZJ5q-MFo,2019-07-25T14:21:33Z,UCHd62-u_v4DvJ8TCFtpi4GA,"Philippine workers are on the front lines of the battle to keep the Internet safe, but at what cost?","Silicon Valley correspondent Elizabeth Dwoskin speaks about The Washington Post's investigation into job conditions for content moderators in the Philippines. Read more: https://wapo.st/2K5X9m8. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqK

Follow us:
Twitter: https://twitter.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/",Washington Post,"['dublin', 'trauma', 'mental health', 'ptsd', 'us 2016 election', 'russia', 'google', 'suicides', 'massacres', 'terrorist attacks', 'silicon valley', 'moderators', 'cognizant', 'austin', 'filipino', 'philippine', 'mark-zuckerberg', 'content-moderation', 'jeanne-whalen', 'elizabeth-dwoskin', 'youtube', 'twitter', 'facebook', 'content-moderators', 'manila', 'philippines', 'Washington Post Video', 'News', 'WaPo Video', 'Washington Post YouTube', 'The Washington Post', 'a:technology', 't:Original', 's:Tech']",en-US,12616,270,0,26,US,Foreigner speaks Filipino,Yes
X3csbe8mZnY,2017-11-15T15:13:03Z,UCHd62-u_v4DvJ8TCFtpi4GA,"Fact Check: Did Obama 'never get to land' in the Philippines, as Trump says?","President Trump's claim doesn't make much sense — Obama canceled a meeting, not a trip, and by then, he had already traveled to the Philippines twice as president. Read more: http://wapo.st/2yFx8TX. Subscribe to The Washington Post on YouTube: http://bit.ly/2qiJ4dy

Follow us:

Twitter: https://twitter.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/",Washington Post,"['phillipines', 'duterte', 'trump', 'president trump', 'obama', 'insults', 'planes', 'air force one', 'fact check', 'washington post fact checker', 'false statements', 'Washington Post YouTube', 'Washington Post Video', 'WaPo Video', 'The Washington Post', 'News', 'asia trip', 'could obama not land hi plane in the philippeans', 'international jabs', 'asean']",en,17923,237,0,86,US,Visit Philippines,Yes
0ovXuSBwktM,2019-01-11T16:30:01Z,UCWqPRUsJlZaDp-PVbqEch9g,This Famous Pacific Battle is Captured in Stunning Detail,"Relive the aerial dogfights and naval clashes of the Battle of the Philippines Sea, thanks to stunning color footage. It is a visual record of the battle that underlined U.S. superiority in the Pacific.

From the Series: The Pacific War in Color: The Enemy Underground http://bit.ly/2lTL1cq",Smithsonian Channel,"['watch', 'TV online', 'George Kirk', 'bomber', 'the enemy underground', 'aerial', 'lieutenant', 'america', 'Facts', 'ww2', 'Japan', 'USA', 'battleship', 'Planes', 'carriers', 'F6 Hellcat', 'south dakota', 'navy pilot', 'US', 'aircraft', 'Battle of the Philippines Sea', 'Documentary', 'armor', 'channel', 'stream TV', 'radar', 'Pacific War in color', 'sailors', 'attack', 'battle', 'japanese', 'video', 'Episodes', 'free tv', 'smithsonian', 'War', 'ships', 'Great Marianas Turkey Shoot', 'free videos', 'dogfight', 'imperial', 'navy', 'anti-aircraft', 'American fleet']",en,2607776,26747,0,1469,US,Japanese React Filipino,Yes
oGuEcctNshI,2019-08-23T01:14:19Z,UCPyi-4WfF63TJ95zKShawcw,Why Are You Killing Blacks  | Filipino President Duterte to America,"Reacting to: President Duterte to America: Why Are You Killing Blacks

HELP ME REACH 150,000 SUBSCRIBERS 
Thank you
Thanks for watching, make sure to subscribe for more.
I try to make at least one video everyday.

SUBSCRIBE TO ME: http://bit.ly/2Ml1YeR

ORIGINAL VIDEO:

FOLLOW ME ON SOCIAL MEDIA:
http://bit.ly/31N5se1
http://bit.ly/2z2HHlH

BUSINESS ONLY EMAIL: 

DISCLAIMER:
All of the content in this video belong to their respective owners.
I do not own any of the footage shown or music used in this video.
#philippines #presidentduterte",itsKEVO,"['philippines', 'rodrigo duterte', 'duterte', 'president duterte', 'president', 'philippines president', 'duterte philippines', '16th president of the philippines', 'duterte murders', 'philippine president', 'abs-cbn philippines', 'president trump', 'roman catholic church of the philippines', 'duterte killings', 'news', 'phillippines', 'the phillipines', 'philippine', 'philippine news', 'philippines garbage', 'philippines drug war', 'philippines election', 'politics', 'philippines bug speech', 'duterte admin']",en-GB,2777101,109044,0,14446,US,"Foreigner React Filipino,Foreigner reacts to Filipinos,Foreigner speaks Filipino,Foreigner travels to Philippines,Korean React Filipino,React to Filipinos,React to Philippines",Yes
o-I3x_-b9MA,2019-06-13T02:46:04Z,UCPyi-4WfF63TJ95zKShawcw,"1,400 Filipino soldiers versus 40,000 communist Chinese during Korean War","MAKE SURE YOU CLICK THE BELL, DON'T MISS ANY NEW VIDEOS!


SUBSCRIBE TO ME: https://www.youtube.com/channel/UCPyi-4WfF63TJ95zKShawcw?view_as=subscriber

From Balyudong :

1,400 Filipino soldiers versus 40,000 communist Chinese

They faced 40,000 Chinese soldiers with only rifles, machine guns, mortars and howitzers to stop the enemy. They also have 2 light tanks, a few bazookas which didn't work and not of all them had winter clothing. The communist attack was so overwhelming that the British and the Puerto Ricans retreated but the Filipinos stayed and kept fighting.

They were greatly outnumbered 40 to 1 so the clerks, drivers and cooks joined the fight. They held the line, preventing the Chinese to take more land from Korea. The Chinese army lost 7,000 troops while the Filipinos lost 24 with 26 more wounded.

When the Americans came there were a lot of littered clothing all over the area. An American officer asked a Filipino machine gunner what those ""rags"" were. He replied, ""Those are dead Reds, sir"".

The Korean War (25 June 1950 -- 27 July 1953) was a war between the Republic of Korea (South Korea), supported by the United Nations, and the Democratic People's Republic of Korea (North Korea), at one time supported by the People's Republic of China and the Soviet Union. It was primarily the result of the political division of Korea by an agreement of the victorious Allies at the conclusion of the Pacific War at the end of World War II. The Korean Peninsula was ruled by the Empire of Japan from 1910 until the end of World War II. Following the surrender of the Empire of Japan in September 1945, American administrators divided the peninsula along the 38th parallel, with U.S. military forces occupying the southern half and Soviet military forces occupying the northern half. (Wikipedia)

The Philippine Expeditionary Forces to Korea (PEFTOK) was the Philippine Army contingent of the United Nations forces that fought in the Korean War. The unit arrived in Korea in August 1950. It was composed of 7,500 Filipino soldiers, and was the fourth largest force under the United Nations Command.

The PEFTOK took part in the Battle of Yultong Bridge and the Battle of Hill Eerie. The unit operated with the United States 1st Cavalry Division, 3rd Infantry Division, 25th Infantry Division, and 45th Infantry Division. Among the Filipino soldiers who fought during the Korean war was 2nd Lt. Fidel Ramos who would later become president of the Philippines.

ORIGINAL VIDEO: https://www.youtube.com/watch?v=LPQqmU-syHg&feature=share&fbclid=IwAR0HxQvbzMH4-hO9ktKBvbx1OyCMl-F7FPNYwHRfq5QEAh66JYjG70tGXfQ

HELP ME REACH 100,000 SUBSCRIBERS 
Thank you
Thanks for watching, make sure to subscribe for more.
I try to make at least one video everyday.

FOLLOW ME ON SOCIAL MEDIA:
http://instagram.com/itskevslife_
https://www.snapchat.com/add/itskevslife

""COPYRIGHTS: FAIR USE, Title 17, US Code (Sections 107-118 of the copyright law): All media in this video is used for purpose of review & commentary under terms of fair use. All footage, music & images used belong to their respective companies.""
#Filipino #soldiers #korean",itsKEVO,"['south korea', 'north korea', 'korea', 'philippines', 'history', 'documentary', 'culture', 'army', 'grace lee', 'pnoy', 'ninoy aquino', 'fidel ramos', 'ofw in korea', 'koreanovela', 'boys over flowers', 'kim jong-il', 'america', 'ninoy aquino jr.', 'wwii', 'japanese occupation', 'pilipino', 'bayani', 'museum', 'sandara park', 'kimchi']",en-GB,188665,6185,0,1517,US,"Korean React Filipino,React to Philippines,Top Filipino",Yes
_eGxfDkte9Y,2019-07-08T00:33:26Z,UCPyi-4WfF63TJ95zKShawcw,Philippines Special Forces | Hunt For ISIS Militants | MARAWI BATTLE,"HELP ME REACH 100,000 SUBSCRIBERS 
Thank you
Thanks for watching, make sure to subscribe for more.
I try to make at least one video everyday.

SUBSCRIBE TO ME: https://www.youtube.com/channel/UCPyi-4WfF63TJ95zKShawcw?view_as=subscriber

From: 
VICE News
Published on 28 Jun 2017

Last month, ISIS-linked militants attempted to establish South East Asia's first Islamic State caliphate on the southern Philippines island of Mindanao. What followed was a bid from the Philippines armed forces to crush the militants and reestablish order. VICE News gained exclusive access to embed with the Philippines special forces to learn about the realities of war on the front lines of Marawi.

ORIGINAL VIDEO:


FOLLOW ME ON SOCIAL MEDIA:
http://instagram.com/itskevslife_
https://www.snapchat.com/add/itskevslife

""COPYRIGHTS: FAIR USE, Title 17, US Code (Sections 107-118 of the copyright law): All media in this video is used for purpose of review & commentary under terms of fair use. All footage, music & images used belong to their respective companies.""
#reaction #Philippines #marawi",itsKEVO,"['isis marawi vice', 'filipino special forces', 'ISIS marawi', 'Marawi', 'vice isis', 'interviews', 'world news', 'breaking news', 'happening now', 'politics', 'national', 'VICE News Tonight', 'HBO', 'VICE on HBO', 'vice news tonight', 'VICE News', 'Philippines', 'ISIS militias', 'Rodrigo Duterte', 'Duterte', 'Isobel Yeung vice', 'urban warfare', 'Malawi', 'frontlines', 'Filipino', 'VICE', 'ISIL', 'Daesh', 'Mindanao', 'Phillipines', 'militants', 'violence', 'war and conflict', 'war on drugs', 'terror', 'isobel yeung', 'VICE Magazine', 'documentary', 'news', 'vice news 2018']",en-GB,1339821,23608,0,2169,US,"React to Filipinos,React to PH,React to Philippines",Yes
